ticker,cluster_id,symbol,company_name,sector,sub_industry
MDLZ,1,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MKC,1,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MNST,1,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MO,1,MO,Altria,Consumer Staples,Tobacco
PEP,1,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PG,1,PG,Procter & Gamble,Consumer Staples,Personal Care Products
PM,1,PM,Philip Morris International,Consumer Staples,Tobacco
SJM,1,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
STZ,1,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
TAP,1,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
TSN,1,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
DG,2,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
DLTR,2,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail
TGT,2,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
AZO,3,AZO,AutoZone,Consumer Discretionary,Automotive Retail
CASY,3,CASY,Casey's,Consumer Staples,Food Retail
COST,3,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
ORLY,3,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail
ROL,3,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services
RSG,3,RSG,Republic Services,Industrials,Environmental & Facilities Services
TSCO,3,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail
WM,3,WM,Waste Management,Industrials,Environmental & Facilities Services
WMT,3,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
KR,4,KR,Kroger,Consumer Staples,Food Retail
AEE,5,AEE,Ameren,Utilities,Multi-Utilities
AEP,5,AEP,American Electric Power,Utilities,Electric Utilities
AMT,5,AMT,American Tower,Real Estate,Telecom Tower REITs
ARE,5,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ATO,5,ATO,Atmos Energy,Utilities,Gas Utilities
AVB,5,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
AWK,5,AWK,American Water Works,Utilities,Water Utilities
BXP,5,BXP,"BXP, Inc.",Real Estate,Office REITs
CCI,5,CCI,Crown Castle,Real Estate,Telecom Tower REITs
CMS,5,CMS,CMS Energy,Utilities,Multi-Utilities
CNP,5,CNP,CenterPoint Energy,Utilities,Multi-Utilities
CPT,5,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs
D,5,D,Dominion Energy,Utilities,Multi-Utilities
DLR,5,DLR,Digital Realty,Real Estate,Data Center REITs
DOC,5,DOC,Healthpeak Properties,Real Estate,Health Care REITs
DTE,5,DTE,DTE Energy,Utilities,Multi-Utilities
DUK,5,DUK,Duke Energy,Utilities,Electric Utilities
ED,5,ED,Consolidated Edison,Utilities,Multi-Utilities
EIX,5,EIX,Edison International,Utilities,Electric Utilities
EQIX,5,EQIX,Equinix,Real Estate,Data Center REITs
EQR,5,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs
ES,5,ES,Eversource Energy,Utilities,Electric Utilities
ESS,5,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs
ETR,5,ETR,Entergy,Utilities,Electric Utilities
EVRG,5,EVRG,Evergy,Utilities,Electric Utilities
EXC,5,EXC,Exelon,Utilities,Electric Utilities
EXR,5,EXR,Extra Space Storage,Real Estate,Self-Storage REITs
FE,5,FE,FirstEnergy,Utilities,Electric Utilities
FRT,5,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
INVH,5,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs
IRM,5,IRM,Iron Mountain,Real Estate,Other Specialized REITs
KIM,5,KIM,Kimco Realty,Real Estate,Retail REITs
LNT,5,LNT,Alliant Energy,Utilities,Electric Utilities
MAA,5,MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
NEE,5,NEE,NextEra Energy,Utilities,Multi-Utilities
NI,5,NI,NiSource,Utilities,Multi-Utilities
O,5,O,Realty Income,Real Estate,Retail REITs
PCG,5,PCG,PG&E Corporation,Utilities,Multi-Utilities
PEG,5,PEG,Public Service Enterprise Group,Utilities,Electric Utilities
PLD,5,PLD,Prologis,Real Estate,Industrial REITs
PNW,5,PNW,Pinnacle West Capital,Utilities,Multi-Utilities
PPL,5,PPL,PPL Corporation,Utilities,Electric Utilities
PSA,5,PSA,Public Storage,Real Estate,Self-Storage REITs
REG,5,REG,Regency Centers,Real Estate,Retail REITs
SBAC,5,SBAC,SBA Communications,Real Estate,Telecom Tower REITs
SO,5,SO,Southern Company,Utilities,Electric Utilities
SPG,5,SPG,Simon Property Group,Real Estate,Retail REITs
SRE,5,SRE,Sempra,Utilities,Multi-Utilities
UDR,5,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs
VICI,5,VICI,Vici Properties,Real Estate,Hotel & Resort REITs
VTR,5,VTR,Ventas,Real Estate,Health Care REITs
WEC,5,WEC,WEC Energy Group,Utilities,Electric Utilities
WELL,5,WELL,Welltower,Real Estate,Health Care REITs
WY,5,WY,Weyerhaeuser,Real Estate,Timber REITs
XEL,5,XEL,Xcel Energy,Utilities,Multi-Utilities
DRI,6,DRI,Darden Restaurants,Consumer Discretionary,Restaurants
MCD,6,MCD,McDonald's,Consumer Discretionary,Restaurants
SYY,6,SYY,Sysco,Consumer Staples,Food Distributors
YUM,6,YUM,Yum! Brands,Consumer Discretionary,Restaurants
CHTR,7,CHTR,Charter Communications,Communication Services,Cable & Satellite
CMCSA,7,CMCSA,Comcast,Communication Services,Cable & Satellite
T,7,T,AT&T,Communication Services,Integrated Telecommunication Services
TMUS,7,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
VZ,7,VZ,Verizon,Communication Services,Integrated Telecommunication Services
CBOE,8,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CME,8,CME,CME Group,Financials,Financial Exchanges & Data
ACGL,9,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance
AFL,9,AFL,Aflac,Financials,Life & Health Insurance
AIG,9,AIG,American International Group,Financials,Multi-line Insurance
AIZ,9,AIZ,Assurant,Financials,Multi-line Insurance
AJG,9,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
ALL,9,ALL,Allstate,Financials,Property & Casualty Insurance
AON,9,AON,Aon plc,Financials,Insurance Brokers
BRK-B,9,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BRO,9,BRO,Brown & Brown,Financials,Insurance Brokers
CB,9,CB,Chubb Limited,Financials,Property & Casualty Insurance
CINF,9,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
EG,9,EG,Everest Group,Financials,Reinsurance
ERIE,9,ERIE,Erie Indemnity,Financials,Insurance Brokers
GD,9,GD,General Dynamics,Industrials,Aerospace & Defense
GL,9,GL,Globe Life,Financials,Life & Health Insurance
HIG,9,HIG,Hartford (The),Financials,Property & Casualty Insurance
HII,9,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
L,9,L,Loews Corporation,Financials,Multi-line Insurance
LDOS,9,LDOS,Leidos,Industrials,Diversified Support Services
LHX,9,LHX,L3Harris,Industrials,Aerospace & Defense
LMT,9,LMT,Lockheed Martin,Industrials,Aerospace & Defense
MRSH,9,MRSH,Marsh McLennan,Financials,Insurance Brokers
NOC,9,NOC,Northrop Grumman,Industrials,Aerospace & Defense
PGR,9,PGR,Progressive Corporation,Financials,Property & Casualty Insurance
RTX,9,RTX,RTX Corporation,Industrials,Aerospace & Defense
TRV,9,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance
